HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
11,7,4,8,5,12,3,12,1,1,1502.6784901026801,1208.4446583898,1
9,5,7,9,8,6,4,14,3,1,1665.6210772033498,1471.71104206203,1
14,3,7,6,11,5,4,12,3,1,1608.6578569493302,1519.3787865026002,1
12,5,2,12,10,7,5,7,1,2,1563.54715352194,1492.1604866832001,0
8,9,6,7,12,5,5,10,2,2,1371.06289087967,1430.40496720633,0
15,3,6,9,4,10,5,14,2,0,1649.7866128463502,1277.70549599202,1
12,4,6,9,9,6,7,9,3,0,1551.4250302866199,1442.97191698372,1
7,7,9,8,12,3,8,7,1,3,1419.1778931914002,1659.16377642668,0
12,4,12,5,11,5,9,7,1,1,1405.7539605584698,1562.71413404785,1
6,6,9,11,13,3,8,8,1,2,1608.21108761279,1729.4805370299898,1
10,4,8,9,13,3,2,12,1,0,1477.88356870276,1402.85278449912,1
6,9,8,7,9,5,7,10,3,2,1431.74698424401,1672.81394824356,1
9,5,9,8,14,3,8,6,0,3,1625.33807155422,1629.9150521506199,0
7,11,8,8,11,5,10,7,2,1,1466.34313111044,1568.31313691017,0
5,12,3,13,8,9,6,8,1,1,1334.97946395744,1366.53115296613,1
12,7,4,8,10,7,5,8,2,1,1505.3274568942802,1488.54649515129,1
12,4,7,9,11,5,4,13,1,0,1372.76462673654,1493.74923405956,1
4,11,5,14,5,9,3,14,0,2,1249.31380650399,1298.18278960263,0
12,5,6,9,6,6,10,11,2,2,1553.71939812781,1605.9769318885299,0
8,7,9,8,9,6,7,10,1,0,1401.80319086458,1498.22824520845,1
